Perenso AcctKey,Analysis Forest \ Territory,IMS #,Account Name,Street Line 1,Street Line 2,Suburb,Postcode,Analysis Forest \ State,Top 500,Phone,Banner,Brauer Rating,Call Frequency,Buying Group
"1,960",NSW1,2000040,Soul Pattinson Chemist - Pitt St Mall - Sydney,Sh 160 Pitt St Mall,,SYDNEY,2000,NSW,Top 500,02 9232 7464,SOUL PATTINSON,A Grade,4 Weeks,
"2,024",NSW1,2000068,CBD Phy - Sydney,,92 Pitt St,SYDNEY,2000,NSW,Top 500,02 9221 0091,Independent,A Grade,4 Weeks,
"5,649",NSW1,2000076,Priceline Phy -  413 George St,,413-421 George St,SYDNEY ,2000,NSW,Top 500,02 9262 2556,PRICELINE OP IN,A Grade,4 Weeks,
"6,968",NSW1,2000093,Priceline Phy - Town Hall,Shop 54 Ground Floor ,2 Park Street ,SYDNEY ,2000,NSW,Top 500,02 9264 4449,PRICELINE OP IN,A Grade,4 Weeks,
"2,107",NSW1,2007004,Chemistworks - Broadway,Sh G14 Broadway S/C,Bay St,BROADWAY,2007,NSW,Top 500,02 9212 4377,Independent,A Grade,4 Weeks,
"6,216",NSW1,2015001,Pharmacy Online - Alexandria,3,33 Maddox Street,ALEXANDRIA,2015,NSW,Top 500,02 9667 2355,OPTIMAL PLUS,A Grade,4 Weeks,BRAUER SILVER 10%
"2,145",NSW1,2021002,Blooms The Chemist - Maddo From Paddo,,322-324  Oxford St,PADDINGTON,2021,NSW,Top 500,02 9360 4566,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,051",NSW1,2022011,David Wilson Chemist,Sh 3-5 Eastgate S/C,Spring St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 4883,Independent,A Grade,4 Weeks,
"2,221",NSW1,2022018,Mums Advice - Bondi Junction,"L1, Sh 1037-1038 Westfield S/C",500 Oxford St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 1977,Independent,A Grade,4 Weeks,
"5,188",NSW1,2022024,Priceline Phy - Bondi Junction,,454-462 Oxford St,BONDI JUNCTION,2022,NSW,Top 500,02 9387 7663,PRICELINE OP IN,A Grade,4 Weeks,
"1,939",NSW1,2027002,Blooms The Chemist - Eastpoint,Sh 1 Eastpoint Food Fair,Cnr New South Head Rd & Ocean St,EDGECLIFFE,2027,NSW,Top 500,02 9328 1316,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,086",NSW1,2029005,Gaslight Phy,,484 Old South Head Rd,ROSE BAY,2029,NSW,Top 500,02 9371 9414,Independent,A Grade,4 Weeks,
"4,984",NSW1,2031001,Randwick Phy Amcal,Royal Randwick S/C,79 Belmore Rd,RANDWICK,2031,NSW,Top 500,02 9398 1999,AMCAL CHEMIST,A Grade,4 Weeks,
"1,868",NSW1,2034001,Blooms The Chemist - Coogee,,202-204 Coogee Bay Rd,COOGEE,2034,NSW,Top 500,02 9665 5158,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,227",NSW1,2035016,Walsh's Village Phy,Sh 6 Village Cnt,Cnr Malabar Rd & Meagher Ave,MAROUBRA SOUTH,2035,NSW,Top 500,02 9311 0088,Independent,A Grade,4 Weeks,
"2,222",NSW1,2036007,PharmaSave - Eastgardens,Sh 158-159 Westfield Eastgardens S/C,152 Bunnerong Rd,PAGEWOOD,2035,NSW,Top 500,02 9344 5559,PHARMASAVE,A Grade,4 Weeks,
"6,104",NSW1,2037008,Cincotta Chemist - Glebe,53-55 Glebe Point Road,,GLEBE,2037,NSW,Top 500,02 9660 6919,Independent,A Grade,4 Weeks,
"1,869",NSW1,2040003,Blooms The Chemist - Leichhardt,Sh 46-48 Market Plaza S/C,,LEICHHARDT,2040,NSW,Top 500,02 9560 9808,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,842",NSW1,2040010,Cincotta Chemist - Norton Plaza Leichhardt,Sh 23 Norton Pl,51 - 57 Norton St,LEICHHARDT,2040,NSW,Top 500,02 9572 6344,CINCOTTA,A Grade,4 Weeks,
"1,932",NSW1,2041001,Blooms The Chemist - Balmain,,273 Darling St,BALMAIN,2041,NSW,Top 500,02 9810 2942,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"2,170",NSW1,2046008,Cincotta Chemist - Five Dock,Sh 1A,125 Great North Rd,FIVE DOCK,2046,NSW,Top 500,02 9713 4729,CINCOTTA,A Grade,4 Weeks,
"1,850",NSW1,2160005,Cincotta Chemist - Merrylands,,185 Merrylands Rd,MERRYLANDS,2160,NSW,Top 500,02 8841 4500,CINCOTTA,A Grade,4 Weeks,
"2,032",NSW1,2164007,Chemistworks Wetherill Pk,Shop 72-76 Stockland Town Ctr,Polding St,WETHERILL PARK,2164,NSW,Top 500,02 9609 7239,Independent,A Grade,4 Weeks,
"1,784",NSW1,2194019,Cincotta Chemist - Campsie,,157-159 Beamish St,CAMPSIE,2194,NSW,Top 500,02 9789 9000,Independent,A Grade,4 Weeks,
"1,462",NSW1,2196001,Blooms The Chemist - Roselands,"F3 Gallery Level, Roselands S/C",Roselands Ave,ROSELANDS,2196,NSW,Top 500,02 9750 0022,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,594",NSW1,2200013,Blooms the Chemist - Bankstown Grand Market,Sh T205 & T206 Centro,1 North Tce,BANKSTOWN,2200,NSW,Top 500,02 9709 2831,BLOOMS THE CHEMIST,A Grade,4 Weeks,
"1,843",NSW1,2204001,Marrickville Metro Amcal Chemist,Sh M5A Marrickville Metro S/C,34 Victoria Rd,MARRICKVILLE,2204,NSW,Top 500,02 9519 1155,AMCAL CHEMIST,A Grade,4 Weeks,
"1,942",NSW1,2204015,Savemore Discount Chemist ,,311 Illawarra Rd,MARRICKVILLE,2204,NSW,Top 500,02 2559 3117,Independent,A Grade,4 Weeks,
"1,825",NSW1,2216010,Rockdale Chemmart Phy ,Sh 34 Rockdale Plaza S/C,,ROCKDALE,2216,NSW,Top 500,02 9553 1800,CHEMMART MASTER,A Grade,4 Weeks,
"5,785",NSW1,2216011,Chemist Outlet - Rockdale,,507 Princess Hwy,ROCKDALE,2216,NSW,Top 500,02 9597 3431,CHEMIST OUTLET,A Grade,4 Weeks,
"1,688",NSW1,2217005,Eddies Phy,,211B Ramsgate Rd,RAMSGATE,2217,NSW,Top 500,02 9529 3367,Independent,A Grade,4 Weeks,
"1,815",NSW1,2220003,Pharmacy Depot Hurtsville,Sh 132 Westfield S/C,Crn Cross st & Rark Rd,HURSTVILLE,2220,NSW,Top 500,02 9579 4633,AMCAL CHEMIST,A Grade,4 Weeks,BRAUER SILVER 10%
"1,571",NSW1,2224003,Southgate Phy,Sh 50 Southgate S/C,Princes Hwy ,SYLVANIA,2224,NSW,Top 500,02 9522 9343,API HEALTHCARE,A Grade,4 Weeks,
